FirstName;LastName;NationalAssociation;ServiceType;ServiceTypeCluster;Age;Gender;Role;Stage;TextValue;FieldNameEN;Comments by AMY
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;His <|aunt|> always picks him up to visit hometown every Khmer New Year and Pchumben Day;Comments on family of origin;data describing family situation
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;He was trained on Child Safe Guarding and Child protection policy.;Comments on protection;
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;He used to be malnarished, but now is healthy, but gets cold occasionally, no major sickness.;Comments on health;health data
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;He has birth certificate.;Notes on legal identity document;data on legal identity
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;His <|aunt|> always picks him up to visit hometown every Khmer New Year and Pchumben Day;Notes on frequency of contact with the family of origin;data describing family situation
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;2025;Planned year of transfer/exit (yyyy);
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;<|Dara|> is a good child, he is attentative to study, though he can sometimes have small arguements with his peers.  We always provide support to him when needed. ;Summary;data describing personality, education or experience
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;His SOS mother always takes him a good care and loves him so much.;Comments on care;
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;His study result is usually above average, so he doesn't usually need as big support from teachers, and educators as for other children.;Comments on education;data on education
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;He is place at SOS CHILDRN'S VILLAGE <|Phnom Penh|>.;Comments on livelihood;location information should be checked for sensitivity
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;<|50|>;Weight in kg;health data
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;<|20|>;BMI;health data
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;He is really satisfied living with his SOS family. He says that he really love the company from his siblings in SOS family.;Comments on well being;health data, living situation
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;<|Thmor Kre|> High School;Name of school/educational service;
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;He develops as well as his peers;Notes on early development;health data
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;Grade 9;Educational grade/year (locally defined);
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;<|Chea Sokha|>;Name of family of origin if known;
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;His biological mom has <|chronical physical health problem|> and his <|grandparents are|> not able to travel this far.;Reason for not participating in child / young person's development activities;information about family situation
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;<|1.58|>;Height in m;health data
Dara;Sok;NA Cambodia;FLC;Alternative Care;14;Male;Child;ReviewAssessment;He studies in general knowledge in the academic year 2023-2024;Educational enrolment details;
Boramey ;Chea;NA Cambodia;SGH;Alternative Care;16;Female;Child;ReviewAssessment;The children are protected well by staff.;Comments on protection;
